,Date,resource_pool,"VCPU, quota","VCPU, Allocated","VCPU, Used","RAM, quota","RAM, Allocated","RAM, Used","Storage, quota","Storage, Allocated","Storage, Used"
133,2019.10.21,6,15080,14725.0,97.64588859416445,96984,66304,68.36591602738595,1118603,985764,88.12456251234798
134,2019.10.21,8,3200,895.0,27.96875,32754,4245,12.960249129877264,143352,30912,21.56370333165913
135,2019.10.21,9,32000,15213.0,47.54062500000001,327487,75665,23.10473392836968,1238977,551233,44.490979251430815
136,2019.10.21,10,1500,1122.0,74.8,6500,4223,64.96923076923076,71000,68450,96.40845070422537
137,2019.10.21,11,1600,643.0,40.1875,11250,2541,22.586666666666666,56000,31050,55.44642857142857
138,2019.10.21,12,3200,1504.0,47.0,32754,8944,27.3065885082738,92155,46224,50.15897129835603
139,2019.10.21,13,39200,30175.0,76.97704081632651,401243,158545,39.513461917092634,1551277,1179866,76.05772534498996
140,2019.10.21,14,3200,734.0,22.9375,32754,2953,9.015692739818036,358382,23609,6.587663442918446
141,2019.10.21,15,4700,1189.0,25.29787234042553,48107,6009,12.49090568940071,353262,42629,12.067247538654033
142,2019.10.21,16,5647,4125.0,73.0476359128741,56254,30759,54.678778397980594,646828,439871,68.00432263291015
143,2019.10.21,18,18800,7511.0,39.95212765957447,192369,34995,18.191600517754935,706524,256310,36.277606988580715
144,2019.10.21,19,400,388.0,97.0,2176,2152,98.89705882352942,11800,11800,100.0
145,2019.10.21,20,421,331.0,78.62232779097387,3091,1621,52.44257521837593,27698,13942,50.335764315113
146,2019.10.14,0,3200,3122.0,97.5625,31729,13239,41.72523558889344,230388,142313,61.771012379116975
147,2019.10.14,2,9407,9133.0,97.08727543318804,43586,34111,78.26136832928005,468248,439785,93.92138354034614
148,2019.10.14,3,30380,38455.0,126.57998683344304,469646,156999,33.42922115806373,2155441,1948242,90.38716439002505
149,2019.10.14,4,32323,31999.0,98.9976177953779,194370,137053,70.51139579153161,2182226,1988382,91.1171436872258
150,2019.10.14,5,18040,21693.0,120.24944567627493,243619,120207,49.342210582918405,783319,788402,100.6489054906111
151,2019.10.14,6,14880,14768.0,99.247311827957,96984,66458,68.52470510599686,1118603,986038,88.14905735099941
152,2019.10.14,8,2240,895.0,39.95535714285714,32754,4245,12.960249129877264,143352,30912,21.56370333165913
153,2019.10.14,9,24320,15080.0,62.00657894736843,327487,74840,22.852815531608886,1238977,544705,43.96409295733497
154,2019.10.14,10,1500,1018.0,67.86666666666666,5500,3779,68.7090909090909,71000,61500,86.61971830985917
155,2019.10.14,11,1000,294.0,29.40000000000001,6250,1148,18.367999999999995,39000,14150,36.282051282051285
156,2019.10.14,12,3200,1504.0,47.0,32754,8944,27.3065885082738,92155,46224,50.15897129835603
157,2019.10.14,13,39200,31291.0,79.82397959183673,401243,158553,39.51545572134592,1551277,1210387,78.02520117296909
158,2019.10.14,14,3200,635.0,19.843750000000004,32754,2907,8.875251877633259,153592,21800,14.193447575394547
159,2019.10.14,15,3200,1157.0,36.15625,32754,5889,17.979483421872132,71676,41951,58.52865673307662
160,2019.10.14,16,5647,3857.0,68.3017531432619,56254,28473,50.615067372986815,646828,383878,59.347770968480035
161,2019.10.14,18,18800,6945.0,36.94148936170213,192369,33037,17.173765003716813,706524,232549,32.91452236583612
162,2019.10.14,19,400,381.0,95.25,2176,2105,96.73713235294115,11800,11750,99.57627118644069
163,2019.10.14,20,21,1.0,4.761904761904766,21,1,4.761904761904766,2100,50,2.380952380952384
164,2019.10.07,0,3200,3121.0,97.53125,31729,13089,41.252481956569696,220149,139905,63.55014104084052
165,2019.10.07,2,9407,9197.0,97.76761985755287,43586,34478,79.10338181985041,460090,436692,94.91447325523266
166,2019.10.07,3,23020,21780.0,94.61337966985229,232299,86321,37.15943676038209,1146822,916363,79.90455362732838
167,2019.10.07,4,32309,32235.0,99.7709616515522,194370,137809,70.90034470340073,2182226,1981330,90.79398742385071
168,2019.10.07,5,14200,14091.0,99.23239436619718,145351,76423,52.57824163576446,527332,510905,96.88488466468942
169,2019.10.07,6,14880,14367.0,96.55241935483872,96984,64896,66.91413016580054,1078603,950960,88.16589607112164
170,2019.10.07,8,1600,438.0,27.375000000000004,16377,2068,12.627465347743785,71676,14894,20.779619398403927
171,2019.10.07,9,19200,14636.0,76.22916666666667,196463,72016,36.656266065366005,829397,525044,63.30430421137285
172,2019.10.07,10,1500,805.0,53.66666666666666,5500,2954,53.709090909090904,71000,51775,72.9225352112676
173,2019.10.07,11,1000,146.0,14.6,6250,544,8.704,39000,6750,17.307692307692317
174,2019.10.07,12,3200,1504.0,47.0,32754,8944,27.3065885082738,92155,46224,50.15897129835603
175,2019.10.07,13,39200,30715.0,78.3545918367347,401243,154873,38.59830576483577,1551277,1192375,76.86409325994003
176,2019.10.07,14,3200,561.0,17.53125,32754,2673,8.160835317823777,153592,18665,12.152325641960516
177,2019.10.07,15,3200,1157.0,36.15625,32754,5889,17.979483421872132,71676,41951,58.52865673307662
178,2019.10.07,16,5647,3711.0,65.71630954489109,56254,27569,49.00807053720624,646828,366019,56.58675876740029
179,2019.10.07,18,18800,7081.0,37.66489361702128,192369,34333,17.84747022649179,706524,234507,33.191653786707896
180,2019.09.30,0,3200,2993.0,93.53125,31729,12391,39.05260172082322,220149,134338,61.0213991433075
181,2019.09.30,2,9607,9207.0,95.83636931404185,43586,34805,79.85362272289268,465210,439586,94.49194987210078
182,2019.09.30,3,35020,29596.0,84.51170759565963,355001,119846,33.75934152298162,1771460,1549792,87.48670588102469
183,2019.09.30,4,32009,31630.0,98.8159580118092,189370,134869,71.21983418704123,2180226,1928901,88.47252532535617
184,2019.09.30,5,12600,11442.0,90.8095238095238,128973,62282,48.29072751661201,476135,413666,86.87998151784683
185,2019.09.30,6,14880,13889.0,93.34005376344084,96984,62136,64.06829992576095,1068603,896783,83.92106329478767
186,2019.09.30,8,3200,833.0,26.031249999999996,32754,3873,11.824509983513465,143352,28019,19.545594062168647
187,2019.09.30,9,22400,14596.0,65.16071428571428,229219,71658,31.26180639475785,931792,527060,56.56412589934234
188,2019.09.30,10,1500,391.0,26.06666666666667,5500,1410,25.636363636363637,31000,22075,71.20967741935483
189,2019.09.30,11,1000,102.0,10.199999999999998,6250,402,6.432000000000004,39000,5100,13.076923076923075
190,2019.09.30,12,3200,1504.0,47.0,32754,8944,27.3065885082738,92155,46224,50.15897129835603
191,2019.09.30,13,40800,29027.0,71.14460784313725,417621,144313,34.555972999442076,1602474,1139262,71.09394598601912
192,2019.09.30,14,3200,555.0,17.343750000000004,32754,2629,8.026500580081821,153592,18421,11.993463201208401
193,2019.09.30,15,4700,505.0,10.744680851063826,48107,1885,3.91834868106512,107514,21437,19.93879866808044
194,2019.09.30,16,5647,3823.0,67.69966353816186,56254,28273,50.25953709958404,646828,372699,57.619490807448045
195,2019.09.30,18,18800,6989.0,37.175531914893625,192369,33687,17.511657283657964,706524,229003,32.41262858728082
196,2019.09.23,0,3200,2698.0,84.3125,31729,11354,35.784298276025076,220149,124666,56.62801102889407
197,2019.09.23,2,9017,8560.0,94.9317954973938,43586,33234,76.24925434772635,455090,428855,94.23520622294492
198,2019.09.23,3,28720,25742.0,89.63091922005569,290512,104760,36.06047254502396,1566670,1350497,86.20175276222817
199,2019.09.23,4,30609,29944.0,97.82743637492241,187322,128522,68.61020061711918,2151880,1858613,86.37159135267765
200,2019.09.23,5,9400,9198.0,97.85106382978724,96217,50744,52.73912094536309,373740,359030,96.06410873869535
201,2019.09.23,6,13528,12623.0,93.31017149615612,91544,56116,61.299484400943825,980692,819721,83.58597806446879
202,2019.09.23,8,3200,815.0,25.46875,32754,3773,11.519203761372655,143352,27168,18.951950443663147
203,2019.09.23,9,25600,17843.0,69.69921875,261973,91151,34.79404366098796,1085384,677455,62.41615870512187
204,2019.09.23,10,1500,172.0,11.466666666666667,5500,568,10.32727272727273,31000,9800,31.612903225806452
205,2019.09.23,12,3200,1000.0,31.25,32754,5904,18.025279355193263,92155,30570,33.172372633063866
206,2019.09.23,13,40800,28485.0,69.81617647058825,417621,139608,33.42935340895213,1648552,1125081,68.2466188509674
207,2019.09.23,14,3200,365.0,11.406249999999995,32754,1505,4.594858643219147,153592,10141,6.602557424865871
208,2019.09.23,15,4700,505.0,10.744680851063826,48107,1885,3.91834868106512,107514,21437,19.93879866808044
209,2019.09.23,16,5647,3683.0,65.22047104657341,56254,27443,48.78408646496249,646828,380035,58.75364084424297
210,2019.09.23,18,18800,6288.0,33.44680851063829,192369,30191,15.694316651851391,706524,210948,29.857159841703897
211,2019.09.16,0,3200,2418.0,75.5625,31729,10231,32.244949415361354,220149,114687,52.09517190629982
212,2019.09.16,2,9017,8312.0,92.18143506709549,37586,31554,83.95147129250253,430514,382759,88.90744551861263
213,2019.09.16,3,31920,26965.0,84.47681704260654,323268,110014,34.03182498731703,1669065,1386629,83.07819048389369
214,2019.09.16,4,29479,28547.0,96.83842735506632,182379,121979,66.88215200214938,2096144,1774935,84.67619591020464
215,2019.09.16,5,12600,10588.0,84.03174603174604,128973,58904,45.671574670667496,424937,412012,96.95837265288738
216,2019.09.16,6,12358,12173.0,98.50299401197607,89496,53907,60.23397693751674,940692,798017,84.83297402337854
217,2019.09.16,8,3200,831.0,25.96875,32754,3869,11.812297734627832,143352,27714,19.33283107316256
218,2019.09.16,9,25600,18031.0,70.43359375,261973,93127,35.548319865024254,1085384,695137,64.04525955790761
219,2019.09.16,12,3200,1064.0,33.25,32754,6288,19.197655248213962,92155,32556,35.32743746948077
220,2019.09.16,13,37600,25070.0,66.67553191489361,384867,119253,30.985509279829134,1448882,976047,67.36552735143373
221,2019.09.16,14,3200,365.0,11.406249999999995,32754,1505,4.594858643219147,153592,10141,6.602557424865871
222,2019.09.16,15,4700,505.0,10.744680851063826,48107,1885,3.91834868106512,107514,21437,19.93879866808044
223,2019.09.16,16,5647,2811.0,49.77864352753676,56254,20469,36.38674583140754,646828,308891,47.75473541652495
224,2019.09.16,18,15600,5869.0,37.62179487179487,159615,28635,17.940043229019828,552932,185414,33.53287565197891
